t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1635344710,1,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635344740,1,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635344770,1,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635344800,1,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635344830,1,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635344860,1,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635344890,1,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635344920,1,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635344950,1,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635344980,1,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345010,2,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345040,2,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345070,2,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345100,2,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345130,2,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345160,2,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345190,2,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345220,2,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345250,2,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345280,2,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345310,3,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345340,3,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345370,3,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345400,3,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345430,3,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345460,3,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345490,3,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345520,3,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345550,3,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345580,3,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345610,4,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345640,4,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345670,4,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345700,4,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345730,4,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345760,4,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1635345790,4,4,4.000000,4,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000
