t,value
1635344491,217313984
1635344521,220776976
1635344551,225279848
1635344581,228588536
1635344611,232096432
1635344641,242755704
1635344710,281437328
1635344740,283900352
1635344770,286283496
1635344800,288515248
1635344830,291066448
1635344860,292961728
1635344890,295490792
1635344920,298687656
1635344950,301234248
1635344980,304368728
1635345010,261685584
1635345040,263697248
1635345070,266158664
1635345100,268100384
1635345130,270152536
1635345160,272539608
1635345190,275752344
1635345220,277243744
1635345250,279623952
1635345280,282394640
1635345310,569637240
1635345340,572426704
1635345370,574363376
1635345400,577327072
1635345430,579743336
1635345460,582157760
1635345490,584095456
1635345520,586834480
1635345550,588318328
1635345580,590169096
1635345610,405610224
1635345640,407299072
1635345670,408981840
1635345700,410622248
1635345730,413195064
1635345760,414845816
1635345790,416465912
1635345820,417632544
1635345850,420594024
1635345880,423441352
1635345910,258877344
1635345940,260754792
1635345970,262661936
1635346000,265005160
1635346030,266855368
1635346060,268728088
1635346090,271028344
1635346120,273917672
1635346150,276512248
1635346180,279259656
1635346210,560886744
1635346240,564005080
1635346270,566342904
1635346300,568668296
1635346330,571130504
1635346360,574809448
1635346390,577119072
1635346420,578996616
1635346450,581775864
1635346480,584115088
1635346510,276131592
1635346540,277881088
1635346570,279958432
1635346600,282578160
1635346630,285022048
1635346660,287937768
1635346690,290563560
1635346720,293021464
1635346750,295206472
1635346780,297775288
1635346810,587045480
1635346840,589482624
1635346870,591632080
1635346900,594237080
1635346930,596685240
1635346960,598851464
1635346990,601815568
1635347020,603591344
1635347050,605855648
1635347080,608114672
1635347110,296089640
1635347140,298022920
1635347170,300715896
1635347200,310260096
1635347230,312777752
1635347260,314721808
1635347290,317217432
1635347320,319150584
1635347350,322122952
1635347380,324990952
1635347410,611125840
1635347440,614083512
1635347470,616342056
1635347500,618483224
1635347530,620522808
1635347560,623182208
1635347590,625420000
1635347620,627904904
1635347650,630300720
1635347680,632481256
1635347710,207284360
1635347740,209106552
1635347770,211651256
1635347800,214299792
1635347830,217005072
1635347860,219490480
1635347890,221726784
1635347920,223737552
1635347950,225953536
1635347980,228434576
1635348010,502388144
1635348040,505497112
1635348070,507504120
1635348100,509348536
1635348130,511841240
1635348160,513845216
1635348190,516992080
1635348220,519243272
1635348250,521470656
1635348280,524138408
1635348310,806499008
1635348340,807937584
1635348370,810383688
1635348400,812378000
1635348430,814849496
1635348460,817304424
1635348490,819334984
1635348520,821790664
1635348550,824130192
1635348580,825675872
1635348610,401254104
1635348640,403486408
1635348670,406303224
1635348700,408300544
1635348730,410281976
1635348760,412432344
1635348790,414987024
1635348820,417268136
1635348850,419538168
1635348880,421723720
1635348910,702689264
1635348940,704538576
1635348970,707125152
1635349000,709856384
1635349030,711992792
1635349060,714234408
1635349090,716636664
1635349120,718254600
1635349150,720910736
1635349180,723204992
1635349210,318198264
1635349240,320017848
1635349270,321486288
1635349300,324258456
1635349330,326490856
1635349360,328428864
1635349390,330287800
1635349420,332986016
1635349450,334938704
1635349480,337236176
1635349510,619763416
1635349540,622025608
1635349570,624375520
1635349600,627041896
1635349630,629792328
1635349660,631620312
1635349690,633385120
1635349720,635463792
1635349750,637704944
1635349780,639634768
1635349810,263669624
1635349840,265781840
1635349870,267637096
1635349900,269399944
1635349930,271601664
1635349960,273601512
1635350292,275773496
1635350517,277618960
1635350547,279405784
1635350577,281697784
1635350607,563341864
1635350637,565228120
1635350667,567472160
1635350697,570014200
1635350727,213489392
1635350757,215614792
1635350787,217372864
1635350817,219554560
1635350847,221700824
1635350877,223397560
1635350907,230956064
1635350937,232881984
1635350967,235033408
1635350997,236489240
1635351027,526250944
1635351057,528072168
1635351087,529866232
1635351117,532477320
1635351147,534290288
1635351177,536461664
1635351207,538905936
1635351237,540730936
1635351267,542652688
1635351297,544897464
1635351327,220057992
1635351357,222172008
1635351387,224258208
1635351417,226347408
1635351447,228441920
1635351477,230166264
1635351507,232109168
1635351537,233861520
1635351567,236017832
1635351597,237354600
1635351627,518494328
1635351657,520575008
1635351687,522621840
1635351717,525269672
