t,value
1635344491,28
1635344521,28
1635344551,28
1635344581,28
1635344611,28
1635344641,29
1635344710,42
1635344740,33
1635344770,32
1635344800,32
1635344830,32
1635344860,32
1635344890,32
1635344920,32
1635344950,32
1635344980,32
1635345010,40
1635345040,34
1635345070,34
1635345100,34
1635345130,34
1635345160,34
1635345190,34
1635345220,34
1635345250,36
1635345280,34
1635345310,40
1635345340,35
1635345370,35
1635345400,35
1635345430,35
1635345460,35
1635345490,35
1635345520,35
1635345550,35
1635345580,35
1635345610,39
1635345640,35
1635345670,35
1635345700,35
1635345730,35
1635345760,35
1635345790,35
1635345820,35
1635345850,35
1635345880,35
1635345910,41
1635345940,35
1635345970,35
1635346000,35
1635346030,35
1635346060,35
1635346090,35
1635346120,35
1635346150,35
1635346180,35
1635346210,39
1635346240,35
1635346270,35
1635346300,35
1635346330,35
1635346360,35
1635346390,35
1635346420,35
1635346450,35
1635346480,35
1635346510,40
1635346540,35
1635346570,35
1635346600,35
1635346630,35
1635346660,35
1635346690,35
1635346720,35
1635346750,35
1635346780,35
1635346810,40
1635346840,35
1635346870,35
1635346900,35
1635346930,35
1635346960,35
1635346990,35
1635347020,35
1635347050,35
1635347080,35
1635347110,40
1635347140,35
1635347170,35
1635347200,35
1635347230,35
1635347260,35
1635347290,35
1635347320,35
1635347350,35
1635347380,35
1635347410,40
1635347440,35
1635347470,35
1635347500,35
1635347530,35
1635347560,35
1635347590,35
1635347620,35
1635347650,35
1635347680,35
1635347710,39
1635347740,35
1635347770,35
1635347800,35
1635347830,35
1635347860,35
1635347890,35
1635347920,35
1635347950,35
1635347980,35
1635348010,40
1635348040,35
1635348070,35
1635348100,35
1635348130,35
1635348160,35
1635348190,35
1635348220,35
1635348250,35
1635348280,35
1635348310,41
1635348340,35
1635348370,35
1635348400,35
1635348430,35
1635348460,35
1635348490,35
1635348520,35
1635348550,35
1635348580,35
1635348610,40
1635348640,35
1635348670,35
1635348700,35
1635348730,35
1635348760,35
1635348790,35
1635348820,35
1635348850,35
1635348880,35
